Name,Dates associated with name,Type of name,Role,Other names,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
"Grant, Alan",1949-,person,,"Stevenson, Robert Louis, 1850-1894 [person] ; Kennedy, Cam [person] ; Grant, Alan, 1949- [person]",014508794,Monograph,Language material ; Text,Volume,GBA814065,9781902407449,Robert Louis Stevenson's strange case of Dr Jekyll and Mr Hyde,,,,Scotland,New Lanark,Waverley,2008,,"40 pages, chiefly colour illustrations, 26 cm",741.5,YK.2009.b.5110,"Good and evil--Comic books, strips, etc--Fiction ; Physicians--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Horror ; Young adult fiction,English,
"Grant, Alan",1949-,person,,"Stevenson, Robert Louis, 1850-1894 [person] ; Kennedy, Cam [person] ; Grant, Alan, 1949- [person]",014508796,Monograph,Language material ; Text,Volume,GBA814067,9781902407586,Robert Louis Stevenson gnothach annasach an Dr Jekyll is Mhgr Hyde,Gnothach annasach an Dr Jekyll is Mhgr Hyde ; Strange case of Dr. Jekyll and Mr. Hyde,,,Scotland,Lannraig Nuadh,Waverley Books Earranta,2008,,"40 pages, chiefly colour illustrations, colour portraits, 26 cm",741.59411,YK.2012.b.3387,,Horror ; Novel ; Young adult fiction,Gaelic,
"Grant, Alan",1949-,person,,"Stevenson, Robert Louis, 1850-1894 [person] ; Kennedy, Cam [person] ; Grant, Alan, 1949- [person]",014508797,Monograph,Language material ; Text,Volume,GBA814068,9781902407593,Robert Louis Stevenson's unco case o Dr Jekyll an Mr Hyde,Strange case of Dr. Jekyll and Mr. Hyde ; Unco case o Dr Jekyll an Mr Hyde,,,Scotland,New Lanark,Waverley,2008,,"40 pages, chiefly colour illustrations, colour portraits, 26 cm",741.59411,YK.2012.b.3388,,Horror ; Novel ; Young adult fiction,Scots,'A graphic novel in Scots in full colour'--Cover
"Grant, Alan",1949-,person,,"Wagner, John, 1949-, author [person] ; Ezquerra, Carlos [person] ; Staples, Greg, artist [person] ; Bolland, Brian [person] ; Grant, Alan, 1949- [person]",017183943,Monograph,Language material ; Still image ; Text,Volume,GBB558373,9781781083185 ; 9781781083192,Judge Dredd : dark justice,"2000 AD (London, England : 1977) ; Dark justice",,,England,Oxford,Rebellion,2015,,"1 volume (unpaged), chiefly illustrations (black and white and colour), 29 cm",741.5941,YKL.2016.b.3579,"Dredd, Judge (Fictitious character)--Comic books, strips, etc",Comic or graphic novel ; Science fiction,English,"'Judge Dredd created by John Wagner & Carlos Ezquerra; Judge Anderson & Death created by John Wagner & Brian Bolland; Mortis, Fire & Fear created by John Wagner, Alan Grant & Brian Bolland.' ; 'Originally serialised in 2000 AD progs 2015, 1912-1921'--Colophon"
"Grant, Alan",1949-,person,author,"Barker, Clive, 1952- [person] ; Wagner, John, 1949-, author [person] ; Grant, Alan, 1949-, author [person] ; Chichester, Dan, 1964-, author ; writer [person] ; Baikie, Jim, artist [person] ; Blevins, Bret, artist [person] ; Johnson, Paul, 1958 October 13-, artist [person]",017955170,Monograph,Language material ; Still image ; Text,Volume,GBB6A5282,9781608868926,Clive Barker's Nightbreed archive,"Clive Barker's Nightbreed, archive. 1 ; Nightbreed ; Nightbreed (Motion picture)",,,United States of America,"Los Angeles, California",BOOM! Studios,2016,BOOM! Studios archive edition,"431 pages, colour illustrations, 27 cm",741.5942,YKL.2018.b.1086,,Horror,English,
"Grant, Alan",1949-,person,author,"Bolland, Brian, artist [person] ; Ezquerra, Carlos, artist ; creator [person] ; Grant, Alan, 1949-, author [person] ; McMahon, Mike, artist [person] ; Smith, Ron, 1926-, artist [person] ; Wagner, John, 1949- [person] ; Wagner, John, 1949-, author ; creator [person]",016644386,Monograph,Language material ; Still image ; Text,Volume,GBB425638,9781613779354,Judge Dredd classics. Volume 1. The apocalypse war,Apocalypse war ; Block mania,,,United States of America,San Diego,,2014,,"231 pages, chiefly colour illustrations, 27 cm",741.5,YKL.2017.b.3800,"Dredd, Judge (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,'Originally published by 2000 AD as 2000 AD progs #236-267 and #269-270'--Title page verso
"Grant, Alan",1949-,person,author,"Bolland, Brian, artist [person] ; Wagner, John, 1949-, author [person] ; Robinson, Cliff, artist [person] ; Grant, Alan, 1949-, author [person] ; Ewins, Brett, artist [person] ; Smith, Robin, artist [person]",017381174,Monograph,Language material ; Still image ; Text,Volume,GBB570391,9781631403729,The dark judges,,Judge Dredd classics,,United States of America,San Diego,,2015,,"120 unnumbered pages, chiefly colour illustrations, 27 cm",741.5973,YKL.2017.b.1289,"Dredd, Judge (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Grant, Alan",1949-,person,author,"Breyfogle, Norm, artist [person] ; Grant, Alan, 1949-, author [person]",019048741,Monograph,Language material ; Still image ; Text,Volume,GBB8G7974,9781401285128,Legends of the Dark Knight : Norm Breyfogle. Volume 2,Works. Selections,Batman,,United States of America,"Burbank, California",DC Comics,2018,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Batman (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Grant, Alan",1949-,person,author,"Breyfogle, Norm, artist [person] ; Grant, Alan, 1949-, author [person]",020147165,Monograph,Language material ; Still image ; Text,Volume,GBC151442,9781779509659,The dark knight detective. Vol. 5,,Batman,,United States of America,"Burbank, California",DC Comics,2021,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Batman, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Grant, Alan",1949-,person,author,"Breyfogle, Norm, illustrator [person] ; Grant, Alan, 1949-, author [person] ; Wagner, John, 1949-, author [person]",017183176,Monograph,Language material ; Still image ; Text,Volume,GBB557606,9781401258986,Legends of the Dark Knight. Volume 1 : Norm Breyfogle,,,,United States of America,"Burbank, California",DC Comics,2015,,"516 pages, chiefly colour illustrations, 27 cm",741.5941,YKL.2016.b.3694,"Breyfogle, Norm ; Batman, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Grant, Alan",1949-,person,author,"Burton, Richard, author ; editor [person] ; Grant, Alan, 1949-, author [person] ; Smith, Ron, 1926-, artist [person] ; Wagner, John, 1949-, author [person]",016856627,Monograph,Language material ; Text,Volume,GBB493785,9781781082645,The daily Dredds. Volume one. 1981-1986,Judge Dredd : the daily Dredds. Volume one. 1981-1986,,,England,Oxford,Rebellion,2014,,"352 pages, chiefly black and white illustrations, 21 x 29 cm",741.56941,LC.31.a.21204,"Dredd, Judge (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Grant, Alan",1949-,person,author,"Grant, Alan, 1949-, author [person] ; Bradbury, Eric, author [person] ; Wagner, John, 1949-, author [person]",019282183,Monograph,Language material ; Still image ; Text,Volume,GBB942684,9781781086759,Invasion 1984!,,,,England,Oxford,Rebellion,2019,,"128 pages, chiefly illustrations, 28 cm",741.5,,,Science fiction,English,
"Grant, Alan",1949-,person,author,"Grant, Alan, 1949-, author [person] ; Ezquerra, Carlos, artist [person] ; Wagner, John, 1949-, author [person]",019998626,Monograph,Language material ; Still image ; Text,Volume,GBC0H1305,9781781088906,Essential Judge Dredd : the Apocalypse War,,,,England,Oxford,Rebellion,2021,,"1 volume, chiefly illustrations",741.5,,"Dredd, Judge (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Grant, Alan",1949-,person,author,"Grant, Alan, 1949-, author [person] ; Ezquerra, Carlos, artist [person]",016300186,Monograph,Language material ; Still image ; Text,Volume,GBB325221,9781781081433,Portrait of a mutant,,2000 AD ; Strontium dog,,England,Oxford,Rebellion,2013,,"140 pages, chiefly black and white illustrations, 20 cm",741.5,YKL.2017.a.12514,,Science fiction,English,
"Grant, Alan",1949-,person,author,"Grant, Alan, 1949-, author [person] ; Ezquerra, Carlos, artist [person]",018094187,Monograph,Language material ; Still image ; Text,Volume,GBB6F2093,9781781085394,Teenage kyx,,Cadet Anderson,,England,Oxford,,2017,,"1 volume, chiefly illustrations, 26 cm",741.5,,,Science fiction,English,
"Grant, Alan",1949-,person,author,"Grant, Alan, 1949-, author [person] ; Ezquerra, Carlos, illustrator [person] ; Wagner, John, 1949-, author [person]",017654549,Monograph,Language material ; Still image ; Text,Volume,GBB5H6276,9781781084304,Outlaw,,Strontium dog,,England,Oxford,Rebellion,2016,,"120 pages, 20 cm",741.5941,YKL.2017.a.10378,,Science fiction,English,
"Grant, Alan",1949-,person,author,"Grant, Alan, 1949-, author [person] ; Ortiz, José, 1932-, artist [person] ; Wagner, John, 1949-, author [person]",020249160,Monograph,Language material ; Still image ; Text,Volume,GBC1A6181,9781781089347,The thirteenth floor. Vol. 3,,,,England,Oxford,Rebellion,2021,,"1 volume, chiefly colour illustrations, 28 cm",741.5,,,Horror,English,
"Grant, Alan",1949-,person,author,"Grant, Alan, 1949-, author [person] ; Wagner, John, 1949-, author [person]",018038028,Monograph,Language material ; Still image ; Text,Volume,GBB6D6409,9781781084977,Legacy,,Fink Angel,,England,Oxford,,2016,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Dredd, Judge (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Grant, Alan",1949-,person,author,"Grant, Alan, 1949-, author [person] ; Wagner, John, 1949-, author [person]",019866816,Monograph,Language material ; Still image ; Text,Volume,GBC0A0656,9781781087725,The thirteenth floor. Vol. 02,,,,England,Oxford,Rebellion,2020,,"147 pages, chiefly colour illustrations, 28 cm",741.5,,,Horror,English,
"Grant, Alan",1949-,person,author,"Grant, Alan, 1949-, author [person]",019201817,Monograph,Language material ; Still image ; Text,Volume,GBB904424,9781401288051,Shadow of the bat. Volume 4,,Batman,,United States of America,"Burbank, California",DC Comics,2019,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Batman, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Grant, Alan",1949-,person,author,"Hebden, Alan, author [person] ; Wagner, John, 1949-, author [person] ; Grant, Alan, 1949-, author [person] ; Robinson, Hilary, author ; writer [person] ; Smith, Ron, 1926-, artist [person] ; Belardinelli, Massimo, 1938-2007, artist [person]",016182628,Monograph,Language material ; Still image ; Text,Volume,GBB2A0007,9781781081105,Mean Team,2000 AD,,,England,Oxford,Rebellion,2013,,"1 volume (unpaged), chiefly black and white illustrations, 26 cm",741.5941,YK.2013.b.6279,,Comic or graphic novel ; Science fiction,English,"'Created by John Wagner, Alan Grant and Massimo Belardinelli.' ; 'Originally serialised in 2000 AD Progs 437-447, 525-531, 533-535, 537-541, 639-644. Copyright © 1985, 1987, 1989'--Facing title page"
"Grant, Alan",1949-,person,author,"McMahon, Mike, artist [person] ; Grant, Alan, 1949-, author [person] ; Wagner, John, 1949-, author [person]",018215705,Monograph,Language material ; Still image ; Text,Volume,GBB718775,9781781085448,The last American,2000 AD,,,England,Oxford,Rebellion,2017,1st edition,"128 unnumbered pages, illustrations (black and white and colour), 28 cm",741.5973,YKL.2019.b.6521,,Comic or graphic novel ; Science fiction,English,'2000 AD'--Back cover ; 'Originally published as a four-part series by Epic Comics'--Page 4
"Grant, Alan",1949-,person,author,"McMahon, Mike, author [person] ; Grant, Alan, 1949-, author [person] ; Lynch, Jake, author [person] ; Wagner, John, 1949-, author [person]",018891591,Monograph,Language material ; Still image ; Text,Volume,GBB8A2153,9781781086339,Nobody apes the law,,Judge Dredd,,England,Oxford,,2018,,"1 volume, chiefly illustrations",741.5,,"Dredd, Judge (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
