Name,Dates associated with name,Type of name,Role,Other names,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
"Grant, Alan",1949-,person,,"Gibson, Ian [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",013211262,Monograph,Language material ; Text,Volume,GBA547117,9781904265474,"Play it again, Sam",,2000 AD ; Robo-hunter,,England,Oxford,Rebellion,2005,,"192 pages, illustrations, 26 cm",741.5,,"Slade, Sam (Fictitious character)--Comic books, strips, etc--Fiction ; Robots--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Grant, Alan",1949-,person,,"Grant, Alan, 1949- [person] ; Bisley, Simon, artist [person] ; Kennedy, Cam, artist [person] ; Wagner, John, 1949-, author [person]",018785745,Monograph,Language material ; Still image ; Text,Volume,GBB847421,9781781086278,Judge Dredd/Batman,Judgement on Gotham ; Vendetta in Gotham,,,England,Oxford,,2018,,"1 volume, chiefly illustrations, 16 x 23 cm",741.5941,,"Batman, (Fictitious character) ; Dredd, Judge (Fictitious character)",Science fiction,English,
"Grant, Alan",1949-,person,,"Grant, Alan, 1949- [person] ; Bolland, Brian [person] ; Wagner, John, 1949- [person]",016082732,Monograph,Language material ; Text,Volume,GBB245706,9781781080450,The Dark Judges,2000 AD,,,England,Oxford,Rebellion,2012,,"114 pages, chiefly illustrations, 20 cm",741.5941,YK.2012.a.31435,"Dredd, Judge (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,"'From the pages of Judge Dredd'--Cover ; 'Originally serialised in 2000 AD progs 149-151, 224-228, 416-427. Copyright © 1980, 1981, 1985'--T.p. verso"
"Grant, Alan",1949-,person,,"Grant, Alan, 1949- [person] ; Kaluta, Michael Wm (Michael William) [person] ; Robinson, Andrew (Andrew C.) [person]",010761740,Monograph,Language material ; Text,Volume,GBA3Z1486,9781840234497,JLA : riddle of the beast,,,,England ; United States of America,London ; New York,DC Comics ; Titan,2001,,"100 pages, chiefly colour illustrations, colour maps, 26 cm",741.5973,YK.2003.b.2205,"Justice League of America (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Grant, Alan",1949-,person,,"Grant, Alan, 1949- [person] ; O'Neil, Dennis, 1939-2020 [person]",011631092,Monograph,Language material ; Text,Volume,GB97V8888,9781563893285,Ties that bind,,,,United States of America,New York,DC Comics,1998,,"160 pages, all colour illustrations, 26 cm",741.5973,,,Science fiction,English,
"Grant, Alan",1949-,person,,"Grant, Alan, 1949- [person] ; Quitely, Frank, 1968- [person]",010761545,Monograph,Language material ; Text,Volume,GB98X2001,9781840230246,Scottish connection,,Batman,,England,London,Titan,1998,,"64 pages, colour illustrations, 26 cm",741.5973,YK.1998.b.9347,"Batman, (Fictitious character)--Comic books, strips, etc--Fiction",Science fiction,English,
"Grant, Alan",1949-,person,,"Grant, Alan, 1949- [person] ; Smith, Robin [person] ; Lego Media (Firm) [organisation]",009500653,Monograph,Language material ; Text,Volume,GBA0W1285,9781903276044,Rock raiders,,,,England,Slough,Lego Media International,2000,,"48 pages, colour illustrations, 26 cm",741.5942,YK.2000.b.4476,Space mining--Pictorial works--Juvenile fiction,Children's fiction ; Pictorial work ; Science fiction,English,
"Grant, Alan",1949-,person,,"Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",006945179,Monograph,Language material ; Text,Volume,GBA4Z0717,9781840238150,The apocalypse war,,2000 AD presents ; Judge Dredd,,England,London,Titan,2004,,"224 pages, all illustrations, 30 cm",741.5,,"Dredd, Judge (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,Originally published: 2003
"Grant, Alan",1949-,person,,"Johnson, Stewart [person] ; Breyfogle, Norm [person] ; Kane, Bob [person] ; Klein, Todd [person] ; Mitchell, Steve (Steven E.) [person] ; Costanza, John [person] ; Grant, Alan, 1949- [person]",012029424,Monograph,Language material ; Text,Volume,GB99Z5275,9781852869953,"Batman, Anarky",Anarky,,,England,London,Titan,1999,,"104 pages, colour illustrations, 26 cm",741.5973,YK.1999.b.3617,"Batman, (Fictitious character)--Comic books, strips, etc--Fiction ; Anarky (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Grant, Alan",1949-,person,,"Smith, Ron, 1926- [person] ; Bolland, Brian [person] ; Wagner, John, 1949- [person] ; Grant, Alan, 1949- [person] ; McMahon, Mike [person]",006950395,Monograph,Language material ; Text,Volume,GBA4Y4650,9781840238792,The Judge Child quest,,Judge Dredd,,England,"London ; Santa Monica, California",Titan,2004,,"192 pages, illustrations, 30 cm",741.5,,"Dredd, Judge (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,Originally published: 2003
